sentiment,content
other,tiffanylue know listenin bad habit earlier start freakin part
sadness,layin n bed headache ughhhh waitin call
sadness,funeral ceremony gloomy friday
other,want hang friends soon
neutral,dannycastillo want trade someone houston ticket one
worry,repinging ghostridah14 go prom bc bf like friends
sadness,sleep think old friend want marry damn want two scandalous
worry,hmmm http wwwdjherocom
sadness,charviray charlene love miss
sadness,kelcouch sorry least friday
neutral,fall asleep
worry,choke retainers
sadness,ugh beat stupid song get next rude
sadness,brodyjenner watch hill london realise tourture weeks weeks late watch itonlinelol
other,get news
sadness,storm electricity go
love,annarosekerr agree
sadness,sleepy even late fail
worry,perezhilton lady gaga tweet impress video leak know
sadness,convince always want signal give damn think lose another friend
worry,raaaaaaek oh bad hope get better sleep issue lately
other,wonder awake 7am write new song plot evil secret plot muahahaha oh damn secret anymore
neutral,topic map talk balisage markup conference two thousand and nine program online http tri amml6z via bobdc topicmaps
worry,eat something know keep tell things food
sadness,tire think definitely go get ear infection go bed early
worry,way home n two deal w underage girls drink gin da bus talk bout keggers damn feel old
sadness,isaacmascote sorry people rude isaac get manners know better lewd
worry,damm servers still need hit eighty koxpers pass
sadness,fudge bs whole paper tire ugh hate school time sleep
worry,hate cancer hate hate hate
other,annoy start type computer middle night
neutral,cynthia_123 sleep
neutral,miss bl bus
neutral,feel strong contractions want go http plurkcompwxidk
neutral,socal stoke maybe tomorrow
neutral,screw davidbrussee three weeks
sadness,ether_radio yeah feel funny sleep enough wake mum sing impress
worry,need skott right
neutral,work afternoon
neutral,gabbyisactive aw would unfollow would would cry
happiness,mmm much better day far still quite early last day uds
other,davidarchie three go first twitter amaze lol come canada would anything see perform
worry,pick blackberry middle street crush
worry,feel pack hit sfo around time year think miss something
other,creyes middle school elem high school remain open need credit graduate cali break
worry,bed time hope go school tomorrow though feel well right
worry,onscrn ahh well hop could learn stuff way work separate things also
sadness,problem photo twitter amf see face
neutral,jakeboyd oh noooo blow tire reaaaally go send batman smoke
neutral,wnna take bath
neutral,chocolate milk much better straw lack say straw
worry,tire
other,djmicdamn hey yu lil fucker textd yu
neutral,mennard time diff wrap day day stuff tweet talk soon must sleep 6hrs
neutral,benballer way damn suck b ok
worry,suck able take days work money take trip sad
other,bed sorta today good sara strep think angelina share water b4 tell prob get
neutral,ramtops recession hotel restructure account do add bite pressure short term cope
neutral,lostluna get dibs sulu
sadness,maternitytees aww onward upwards yay still sad leave bet
worry,itsgabbith haha poor aby still get sore
sadness,diesel yaris 70mpg sad available us would awesome
sadness,want buy great album unfortunately hav enuff fund long time noisy
sadness,pokinatcha honesty pain blech
sadness,ok passengers one alive dead know til end cry
neutral,home alone much
worry,davidcooklove ia much really happy cook choices single
sadness,vincew stefanyngo fell asleep beach put enough sunscreen lol
worry,think son might flu def clean stanky puke mess poor pumkpin
happiness,great see oin cynthia happy dinner great cute little place bad oin get sick afterwards
neutral,give jertronic bday nudge
worry,woman transfer first impressions sexualmaternal onto less threaten man weak
neutral,brothers bloom open weekend el paso buy brick enjoy watch brothers bloom
neutral,say miss plurking http plurkcompwxion
worry,bite blood cat way rabies bacterin seem seven shots two months never wash cat home hate water
neutral,miss voobys
neutral,dancing_monk neither elp
happiness,havingmysay dude favorite sandwich place ever ummm take picture
worry,sad shin ae get marry alex
worry,shondarhimes sure tweet back news abuzz tr knight leave confirm today muy triste
sadness,rachellock22 ohh thursday exams day wednesday
neutral,mix dentist appt afternoon reschedule tomorrow 9am
sadness,gcrush nopantsdance think excite guy move realize sad see go
worry,goooood mooorning people sun definitly spring first spring hail storm car dimple
sadness,artfuldodga love itsakey usb stick 4gb australia
worry,fresh prince sleepy sleep nightly routine get go dmv early tmrw
other,dammit hulu desktop totally screw ability talk particular port one dev servers watch code
worry,emmarler jealous mom talk taylorswift13 want see twitter make miss
worry,sleep keep think puppy play today
worry,suppposed sleep get much get one part song stick head jerk iknow blaahh
neutral,lepetitagneau go sweetheart
neutral,freak difficult get systemwide spellchecker shit would settle office suite one stupid unhelpful windows
worry,last one month due summer strawberry availble chennai market
neutral,willxxmobb work 6am get go bed soon
